,Date,Open,High,Low,Close,Volume,MarketCap
282,"May 25, 2019",1.58,1.60,1.56,1.57,"3,666,087","1,036,905,809"
283,"May 24, 2019",1.62,1.63,1.56,1.58,"4,654,673","1,042,343,268"
284,"May 23, 2019",1.55,1.63,1.48,1.62,"5,817,208","1,076,269,866"
285,"May 22, 2019",1.65,1.66,1.55,1.55,"5,317,375","1,028,022,627"
286,"May 21, 2019",1.66,1.67,1.64,1.65,"3,214,384","1,089,704,897"
287,"May 20, 2019",1.83,1.83,1.63,1.66,"6,782,919","1,101,134,503"
288,"May 19, 2019",1.64,1.83,1.64,1.83,"7,564,102","1,212,616,493"
289,"May 18, 2019",1.67,1.73,1.64,1.64,"5,957,965","1,083,004,958"
290,"May 17, 2019",1.71,1.77,1.54,1.67,"13,498,055","1,105,259,100"
291,"May 16, 2019",1.78,1.83,1.63,1.70,"11,915,320","1,127,862,168"
292,"May 15, 2019",1.47,1.78,1.47,1.78,"13,496,925","1,177,769,777"
293,"May 14, 2019",1.33,1.47,1.30,1.47,"8,335,135","976,075,296"
294,"May 13, 2019",1.22,1.38,1.22,1.33,"9,070,011","879,865,640"
295,"May 12, 2019",1.27,1.32,1.19,1.22,"6,995,488","807,377,030"
296,"May 11, 2019",1.11,1.32,1.11,1.27,"8,999,765","843,575,750"
297,"May 10, 2019",1.10,1.17,1.09,1.11,"5,489,153","736,779,680"
298,"May 09, 2019",1.17,1.19,1.09,1.10,"5,487,324","729,166,020"
299,"May 08, 2019",1.20,1.20,1.14,1.17,"5,312,444","776,042,350"
300,"May 07, 2019",1.21,1.27,1.20,1.20,"4,336,628","796,448,843"
301,"May 06, 2019",1.16,1.23,1.14,1.21,"4,966,399","799,822,365"
302,"May 05, 2019",1.21,1.21,1.15,1.16,"3,979,244","770,409,639"
303,"May 04, 2019",1.31,1.32,1.15,1.21,"5,378,794","799,198,601"
304,"May 03, 2019",1.29,1.32,1.28,1.31,"5,692,786","865,843,884"
305,"May 02, 2019",1.20,1.32,1.19,1.29,"5,617,751","857,600,250"
306,"May 01, 2019",1.22,1.24,1.19,1.20,"4,100,477","792,092,025"
307,"Apr 30, 2019",1.14,1.23,1.13,1.22,"4,954,875","805,480,416"
308,"Apr 29, 2019",1.18,1.19,1.11,1.13,"5,081,660","751,401,445"
309,"Apr 28, 2019",1.22,1.24,1.16,1.17,"5,210,110","776,895,426"
310,"Apr 27, 2019",1.15,1.25,1.15,1.22,"5,922,304","805,923,962"
311,"Apr 26, 2019",1.12,1.15,1.03,1.15,"8,830,115","760,619,921"
312,"Apr 25, 2019",1.23,1.27,1.12,1.12,"6,919,293","742,168,122"
313,"Apr 24, 2019",1.46,1.46,1.22,1.23,"9,638,383","814,506,075"
